Frame,Class,Class_ID,X,Y
1,Valentina,110,348.2316,391.2424
1,Lapu-Lapu,36,622.3626,685.946
1,Novaria,119,288.3874,417.9529
1,Minotaur,18,272.704,502.4952
1,Chou,25,436.7341,597.9209
1,Fredrinn,116,378.6302,607.4472
1,Masha,87,657.8286,603.2742
1,Fanny,16,450.6572,460.2771
1,Claude,64,81.8204,44.2107
2,Valentina,110,347.2588,391.4727
2,Lapu-Lapu,36,621.947,685.3868
2,Minotaur,18,271.8951,502.0066
2,Fredrinn,116,378.0799,607.4699
2,Chou,25,436.4615,598.0977
2,Novaria,119,288.0734,416.9795
2,Masha,87,658.0293,603.8656
2,Fanny,16,450.6331,460.8577
2,Claude,64,82.3729,44.1141
3,Valentina,110,347.6123,391.2933
3,Lapu-Lapu,36,621.1191,684.9316
3,Minotaur,18,270.846,501.9928
3,Fredrinn,116,377.3024,607.4863
3,Chou,25,436.3482,598.5759
3,Novaria,119,288.7216,416.3577
3,Masha,87,658.2978,604.6129
3,Fanny,16,450.5611,461.5449
3,Claude,64,83.1567,43.9063
4,Lapu-Lapu,36,620.5214,685.2148
4,Valentina,110,347.0827,391.3374
4,Minotaur,18,270.702,502.0093
4,Fredrinn,116,377.1517,607.4811
4,Novaria,119,289.2572,415.8876
4,Chou,25,436.1547,598.5176
4,Masha,87,658.4207,604.7495
4,Fanny,16,450.6938,461.571
4,Claude,64,83.5727,43.5098
5,Lapu-Lapu,36,617.6589,685.642
5,Valentina,110,344.0291,391.0703
5,Novaria,119,289.6757,414.4588
5,Fredrinn,116,375.5068,607.8823
5,Chou,25,436.5618,599.3142
5,Masha,87,657.238,605.2686
5,Minotaur,18,268.9119,500.5698
5,Fanny,16,450.7081,461.4084
5,Claude,64,85.9516,43.59
5,Wanwan,88,19.5117,116.5297
6,Novaria,119,290.4631,413.4354
6,Lapu-Lapu,36,617.3076,685.7766
6,Valentina,110,343.1466,391.1166
6,Chou,25,437.3679,599.4918
6,Fredrinn,116,374.0587,607.7021
6,Masha,87,656.7196,605.5452
6,Minotaur,18,268.0779,499.759
6,Fanny,16,450.6772,461.3467
6,Claude,64,87.2442,41.1267
7,Novaria,119,290.9188,412.8504
7,Lapu-Lapu,36,616.5253,685.6389
7,Valentina,110,342.8314,391.1113
7,Fredrinn,116,373.6809,607.0131
7,Chou,25,438.2002,599.7518
7,Masha,87,655.8278,605.7967
7,Minotaur,18,267.3357,499.2903
7,Fanny,16,450.7047,461.2441
7,Claude,64,86.5276,42.9207
8,Novaria,119,291.1977,411.692
8,Chou,25,438.4253,599.6942
8,Fredrinn,116,373.9102,606.5135
8,Lapu-Lapu,36,615.7925,686.201
8,Valentina,110,342.2309,391.0743
8,Masha,87,655.0527,605.638
8,Minotaur,18,267.2549,497.892
8,Fanny,16,450.6088,461.2733
8,Claude,64,86.923,40.708
9,Novaria,119,291.2663,411.1333
9,Fredrinn,116,374.6409,605.5883
9,Chou,25,439.439,599.3541
9,Valentina,110,342.6498,390.864
9,Masha,87,654.2034,605.9319
9,Lapu-Lapu,36,614.0535,686.6016
9,Minotaur,18,266.3416,497.8729
9,Fanny,16,450.697,461.2061
9,Claude,64,86.624,41.8893
10,Novaria,119,291.3259,411.1688
10,Fredrinn,116,375.3097,605.6573
10,Chou,25,440.8357,598.7912
10,Masha,87,653.4912,605.949
10,Lapu-Lapu,36,613.9602,686.8
10,Valentina,110,342.785,390.7867
10,Minotaur,18,266.1619,497.7759
10,Claude,64,86.6144,41.835
10,Fanny,16,450.7103,461.2713
11,Novaria,119,291.6312,411.396
11,Fredrinn,116,376.9711,605.056
11,Chou,25,441.409,598.8005
11,Claude,64,86.1175,39.3349
11,Minotaur,18,265.3187,496.1276
11,Valentina,110,342.7919,391.1602
11,Lapu-Lapu,36,613.3101,687.6863
11,Fanny,16,450.6055,461.3404
11,Masha,87,651.8669,606.3044
12,Novaria,119,291.6161,411.3346
12,Fredrinn,116,378.3968,604.945
12,Minotaur,18,264.625,495.7919
12,Chou,25,442.3614,598.5894
12,Claude,64,85.7269,38.2275
12,Valentina,110,342.4378,391.162
